"species" "uvalue"
"315" "Cuscuta spec." NA
"316" "Cyclamen purpurascens" -0.2625
"317" "Cynoglossum germanicum" NA
"318" "Cynoglossum officinale" NA
"319" "Cynosurus cristatus" NA
"320" "Cypripedium calceolus" NA
"321" "Cytisus nigricans" -0.713
"322" "Cytisus scoparius" 0.268
"323" "Dactylis glomerata" -0.1293
"324" "Dactylorhiza fuchsii" -0.2
"325" "Dactylorhiza maculata" NA
"326" "Dactylorhiza sambucina" NA
"327" "Danthonia alpina" NA
"328" "Danthonia decumbens" NA
"329" "Daphne laureola" 0.7143
"330" "Daphne mezereum" -0.0205
"331" "Datura stramonium" NA
"332" "Daucus carota" NA
"333" "Deschampsia cespitosa" -0.0927
"334" "Descurainia sophia" NA
"335" "Dianthus armeria" NA
"336" "Dianthus carthusianorum" NA
"337" "Dianthus collinus" NA
"338" "Dianthus giganteiformis" NA
"339" "Dianthus spec." NA
"340" "Dianthus superbus" NA
"341" "Dictamnus albus" -0.4784
"342" "Digitalis grandiflora" -0.1207
"343" "Digitalis purpurea" -0.4108
"344" "Dioscorea communis" -0.6629
"345" "Dipsacus pilosus" NA
"346" "Doronicum austriacum" -0.2829
"347" "Doronicum hungaricum" NA
"348" "Echinochloa crus-galli" NA
"349" "Elymus caninus" -0.1328
"350" "Elymus repens" 0.4646
"351" "Epilobium angustifolium" -0.8428
"352" "Epilobium ciliatum" NA
"353" "Epilobium collinum" NA
"354" "Epilobium hirsutum" 0.4766
"355" "Epilobium montanum" -0.257
"356" "Epilobium parviflorum" NA
"357" "Epilobium spec." -0.3284
"358" "Epilobium tetragonum" NA
"359" "Epipactis atrorubens" -0.8625
"360" "Epipactis helleborine" -0.1887
"361" "Epipactis purpurata" NA
"362" "Epipogium aphyllum" NA
"363" "Erechtites hieraciifolius" 1
"364" "Eremogone procera" NA
"365" "Erigeron annuus" NA
"366" "Erigeron canadensis" 1
"367" "Erigeron spec." NA
"368" "Eriophorum angustifolium" NA
"369" "Eriophorum vaginatum" NA
"370" "Erodium cicutarium" NA
"371" "Eryngium campestre" NA
"372" "Erysimum cheiranthoides" NA
"373" "Erysimum crepidifolium" NA
"374" "Erysimum odoratum" NA
"375" "Euonymus europaeus" 0.2361
"376" "Euonymus latifolius" NA
"377" "Euonymus verrucosus" -0.0481
"378" "Eupatorium cannabinum" -0.0402
"379" "Euphorbia amygdaloides" -0.1728
"380" "Euphorbia angulata" NA
"381" "Euphorbia carniolica" -0.3787
"382" "Euphorbia cyparissias" -0.2567
"383" "Euphorbia dulcis" 0.0684
"384" "Euphorbia epithymoides" -0.5
"385" "Euphorbia esula" NA
"386" "Euphorbia illirica" NA
"387" "Euphorbia palustris" NA
"388" "Euphorbia salicifolia" NA
"389" "Euphorbia stricta" NA
"390" "Fagus sylvatica" 0.2303
"391" "Falcaria vulgaris" NA
"392" "Fallopia convolvulus" 0.4492
"393" "Fallopia dumetorum" 0.4781
"394" "Festuca altissima" -0.1828
"395" "Festuca amethystina" NA
"396" "Festuca drymeja" -0.4939
"397" "Festuca filiformis" NA
