"species_id" "family2"
"63269" "pSJ_PRJ" "Plantaginaceae"
"63277" "aK0_WEw" "Alismataceae"
"63278" "De7_WnJ" "Adoxaceae"
"63456" "woJ_JRP" "Ranunculaceae"
"63821" "QKr_4ls" "Polygonaceae"
"63822" "zNY_hGI" "Asteraceae"
"63864" "KeF_YmG" "Cyperaceae"
"63870" "jMQ_s5s" "Fabaceae"
"63873" "D8T_ydg" "Caryophyllaceae"
"63874" "Ogg_ydg" "Campanulaceae"
"63907" "xRM_ydg" "Typhaceae"
"63910" "2Gi_T86" "Apiaceae"
"63911" "jgT_T86" "Asparagaceae"
"63920" "hOV_T86" "Apiaceae"
"63976" "0RG_pft" "Fabaceae"
"63978" "MiU_pft" "Celastraceae"
"63989" "qrO_2MN" "Thymelaeaceae"
"64222" "cYK_tt8" "Rosaceae"
"64229" "KeF_0UQ" "Cyperaceae"
"64252" "QDx_Klh" "Asparagaceae"
"64261" "KeF_m5S" "Cyperaceae"
"64262" "0RG_yxD" "Fabaceae"
"64335" "HZK_9lz" "Asteraceae"
"64337" "KeF_mbl" "Cyperaceae"
"64338" "OZ4_Tjk" "Melanthiaceae"
"64347" "SQW_rzO" "Brassicaceae"
"64348" "VCE_m52" "Plantaginaceae"
"64349" "xzb_m52" "Orchidaceae"
"64365" "2dv_m52" "Boraginaceae"
"64384" "vnl_1Ry" "Apiaceae"
"64420" "LKT_FT0" "Rubiaceae"
"64455" "2di_FT0" "Ranunculaceae"
"64467" "0ul_YLz" "Fabaceae"
"64469" "zIO_GIT" "Cannabaceae"
"64568" "nj3_TQu" "Amaryllidaceae"
"64569" "xtw_UjV" "Liliaceae"
"64734" "c3q_UjV" "Resedaceae"
"64885" "m1T_NUO" "Onagraceae"
"65948" "bEG_jWj" "Juncaceae"
"65949" "bEG_38A" "Juncaceae"
"66461" "B0s_ixj" "Scrophulariaceae"
"66469" "81w_xl4" "Ranunculaceae"
"66566" "Kye_wG6" "Poaceae"
"66568" "4AT_57G" "Orchidaceae"
"66569" "sAW_57G" "Asteraceae"
"66574" "kCi_qNs" "Araceae"
"66577" "rRF_qNs" "Lamiaceae"
"66783" "Ntd_qNs" "Hypericaceae"
"67197" "1NN_qNs" "Apiaceae"
"67412" "qiG_qNs" "Asteraceae"
"68277" "QKr_kUv" "Polygonaceae"
"68283" "cYK_dPQ" "Rosaceae"
"68294" "Gzd_Eid" "Asparagaceae"
"69631" "L7O_qNA" "Apiaceae"
"69636" "pSJ_qNA" "Plantaginaceae"
"69661" "UTQ_qNA" "Apiaceae"
"69743" "wK1_qNA" "Polygalaceae"
"69746" "3jX_bJA" "Apiaceae"
"69747" "9PF_bJA" "Papaveraceae"
"69818" "l9q_DzU" "Liliaceae"
"70486" "WfP_bR0" "Cornaceae"
"70699" "uCM_BNJ" "Orchidaceae"
"70723" "Tv2_BCE" "Poaceae"
"70739" "EEn_Sth" "Crassulaceae"
"70803" "CMV_lpN" "Lamiaceae"
"70805" "vby_lpN" "Caryophyllaceae"
"70825" "pSJ_lpN" "Plantaginaceae"
"70981" "2VZ_lpN" "Poaceae"
"71092" "wCd_lpN" "Rosaceae"
"71199" "dUw_n9U" "Fabaceae"
"71232" "7Er_RKZ" "Lamiaceae"
"71518" "IAO_IXR" "Lamiaceae"
"71524" "qrO_gRD" "Thymelaeaceae"
"72221" "KeF_zk4" "Cyperaceae"
"72348" "wii_Nf4" "Asteraceae"
"72349" "8Fi_Nf4" "Rosaceae"
"72355" "uCM_8gT" "Orchidaceae"
"72357" "P4W_zIm" "Asteraceae"
"72443" "xtw_wBR" "Liliaceae"
"72484" "JmG_06V" "Ulmaceae"
"72487" "mng_06V" "Araceae"
"72490" "QKr_06V" "Polygonaceae"
"72493" "R9a_06V" "Apocynaceae"
"72495" "W4H_06V" "Ericaceae"
"72737" "KZQ_06V" "Rosaceae"
"72751" "akr_06V" "Boraginaceae"
"72891" "2di_LKh" "Ranunculaceae"
"72892" "zNY_LKh" "Asteraceae"
"72908" "gNl_7zk" "Violaceae"
"73467" "81w_8yI" "Ranunculaceae"
"73468" "Hap_2cQ" "Poaceae"
"73477" "2dv_2cQ" "Boraginaceae"
"73576" "JHm_2cQ" "Rosaceae"
"73695" "LKT_KCh" "Rubiaceae"
"73858" "jbt_iWE" "Rosaceae"
"74380" "KeF_ZDo" "Cyperaceae"
"74382" "wii_ZDo" "Asteraceae"
"74383" "VCE_ZDo" "Plantaginaceae"
"74438" "VsB_ZDo" "Caprifoliaceae"
"74502" "Qx9_ZDo" "Campanulaceae"
"75060" "46J_l4V" "Onagraceae"
"75065" "Ntd_l4V" "Hypericaceae"
"75131" "dUw_l4V" "Fabaceae"
"75349" "QwN_GlC" "Caryophyllaceae"
"75350" "4HP_0IU" "Hydrocharitaceae"
"75359" "exx_FMF" "Rosaceae"
"75450" "GTA_D1k" "Adoxaceae"
"75704" "mxQ_QdP" "Rosaceae"
"75707" "bEG_qsl" "Juncaceae"
"75736" "jgT_1W9" "Asparagaceae"
"77479" "SPo_L5N" "Salicaceae"
"77483" "sLq_d6p" "Asteraceae"
"78268" "KeF_oFa" "Cyperaceae"
"78489" "qiG_Z36" "Asteraceae"
"78973" "Q8S_DwL" "Caryophyllaceae"
"78992" "XiO_RpK" "Ericaceae"
"79411" "81w_Ag7" "Ranunculaceae"
"79412" "CMV_Bpt" "Lamiaceae"
"79413" "vby_Bpt" "Caryophyllaceae"
"79444" "eoQ_E2Y" "Asparagaceae"
"79445" "uCt_3rY" "Sapindaceae"
"79448" "Poe_3tn" "Poaceae"
"80727" "o4M_sz6" "Ranunculaceae"
"82427" "2B3_sz6" "Lamiaceae"
