"Node" "SR_all" "SR_mis" "Obs" "Mean_Exp" "SD_Exp" "P_value"
"99" 1216 4 4 -0.143776032151991 -0.0660761435908792 0.314449589341529 0.787787787787788
"100" 1217 3 3 -0.120272804774084 -0.0593601282425281 0.375484898490705 0.860860860860861
"101" 1218 2 2 -0.088235294117647 -0.0559572127809297 0.463267426013804 0.954954954954955
"102" 1219 15 15 -0.389166884100761 -0.0690650213180234 0.163711543148557 0.046046046046046
"103" 1220 12 12 -0.432754901422248 -0.0699198211399804 0.184062800037824 0.048048048048048
"104" 1221 7 7 -0.282341735771473 -0.0710008286298127 0.240169603825015 0.404404404404404
"105" 1222 6 6 -0.282463825833002 -0.0730111676208093 0.258342212967851 0.447447447447447
"106" 1223 2 2 -0.339506172839506 -0.0809543711829325 0.451512832534868 0.586586586586587
"107" 1224 4 4 -0.253942652329749 -0.0690395658397477 0.319969400590772 0.590590590590591
"108" 1225 2 2 -0.0374551971326165 -0.0594307474417401 0.456721011370696 0.967967967967968
"109" 1226 2 2 -0.470430107526882 -0.0786483842377553 0.448382128139617 0.436436436436436
"110" 1227 3 3 -0.214814814814815 -0.0656458220301957 0.367148920593338 0.70970970970971
"111" 1228 3 3 -0.833333333333333 -0.0557294730657903 0.368765207811177 0.027027027027027
"112" 1229 2 2 -0.75 -0.0502851845865272 0.454139346586817 0.118118118118118
"113" 1230 27 27 -0.0363071908657272 -0.0653471831466211 0.120018914290377 0.778778778778779
"114" 1231 24 24 0.000821076942723526 -0.0670199699255241 0.126175887168498 0.568568568568569
"115" 1232 8 8 -0.581944444444444 -0.0702871282623131 0.213228392907733 0.013013013013013
"116" 1233 7 7 -0.60952380952381 -0.0682983079833457 0.235064139031747 0.015015015015015
"117" 1234 3 3 -0.422222222222222 -0.0670366153146773 0.364939209184886 0.333333333333333
"118" 1235 2 2 -0.433333333333333 -0.0628268619735877 0.448281627528955 0.461461461461461
"119" 1236 16 16 0.292203837636308 -0.0653863907571296 0.158595873522747 0.022022022022022
"120" 1237 4 4 0.261594202898551 -0.0643607310872898 0.319044090457238 0.314314314314314
"121" 1238 2 2 0.456521739130435 -0.0726424872860534 0.452441827129791 0.267267267267267
"122" 1239 12 12 0.30240704921556 -0.0657282773137428 0.180133289413247 0.037037037037037
"123" 1240 7 7 0.182697798655245 -0.0636553340010406 0.238990915888858 0.31031031031031
"124" 1241 6 6 0.0464807650977863 -0.059542462167916 0.259274251505452 0.681681681681682
"125" 1242 5 5 0.149393939393939 -0.0625868014976059 0.281216441238006 0.448448448448448
"126" 1243 3 3 0.286868686868687 -0.0631123634966464 0.371645321073818 0.366366366366366
"127" 1244 2 2 0.53030303030303 -0.0656270889567761 0.453365207136373 0.174174174174174
"128" 1245 2 2 -0.056818181818182 -0.061798458499045 0.438255860715996 0.993993993993994
"129" 1246 5 5 0.47 -0.068630397951526 0.290154073638964 0.0520520520520521
"130" 1247 3 3 0.533333333333333 -0.0805078111561302 0.384917574261862 0.119119119119119
"131" 1248 2 2 0.3 -0.0714277003329488 0.464883186769696 0.465465465465465
"132" 1249 3 3 -0.333333333333333 -0.0519648889153971 0.366435960847217 0.458458458458458
"133" 1250 2 2 0 -0.0470362691026944 0.446485360158304 0.881881881881882
"134" 1251 14 14 -0.479534382550415 -0.0608659806320758 0.1681066082135 0.01001001001001
"135" 1252 13 13 -0.439498565823524 -0.0582391543298953 0.1769532267988 0.022022022022022
"136" 1253 11 11 -0.437838280157564 -0.0555037804981483 0.195273098347076 0.044044044044044
"137" 1254 3 3 -0.347404479578393 -0.0536025664230357 0.364140103349743 0.446446446446446
"138" 1255 2 2 -0.325454545454545 -0.048624997888321 0.453781719810797 0.565565565565566
"139" 1256 5 5 -0.154801528599605 -0.0591533579456813 0.291088044590174 0.74974974974975
"140" 1257 4 4 -0.0685019107495067 -0.0531039955601253 0.335637133779025 0.963963963963964
"141" 1258 3 3 -0.0172618069252683 -0.056612731342805 0.387587745215389 0.934934934934935
"142" 1259 2 2 0.269965277777778 -0.0618568759416575 0.450282862715774 0.487487487487487
"143" 1260 2 2 -0.448630136986301 -0.0732837104045036 0.442846856584827 0.431431431431431
"144" 1261 71 71 -0.230925786609817 -0.0646877250802097 0.0757039413947816 0.027027027027027
"145" 1262 47 47 -0.226894585965708 -0.0657927907452388 0.0924812332050828 0.0820820820820821
"146" 1263 45 45 -0.257954154291183 -0.0665221287281451 0.0947906597116234 0.034034034034034
"147" 1264 44 44 -0.286544021434164 -0.0661943904026057 0.095835640119006 0.019019019019019
"148" 1265 40 40 -0.263055941979263 -0.067478214612352 0.100530981268085 0.046046046046046
"149" 1266 38 38 -0.247869689098345 -0.0673781379758333 0.103896687435054 0.0770770770770771
"150" 1267 37 37 -0.22754184285776 -0.066769398761765 0.10514843544746 0.132132132132132
"151" 1268 33 33 -0.164213581385973 -0.0661612477804287 0.110204274428682 0.379379379379379
"152" 1269 19 19 -0.338536184720174 -0.0632605143656739 0.147390025121941 0.0680680680680681
"153" 1270 14 14 -0.272382955327007 -0.0609353804935665 0.171597643349817 0.231231231231231
"154" 1271 13 13 -0.370258567275239 -0.0612149124893545 0.178270375068551 0.0790790790790791
"155" 1272 11 11 -0.405283605283605 -0.0650230522537324 0.194149918053575 0.0750750750750751
"156" 1273 10 10 -0.365811965811966 -0.062500300214642 0.203031534773472 0.137137137137137
"157" 1274 9 9 -0.406457739791073 -0.0582169222678531 0.213172141365176 0.109109109109109
"158" 1275 8 8 -0.402777777777778 -0.0611997870401986 0.223262978884091 0.135135135135135
"159" 1276 4 4 -0.416666666666667 -0.0716683441176507 0.312478242884611 0.278278278278278
"160" 1277 2 2 -0.833333333333333 -0.0521415310580826 0.444537685695682 0.0710710710710711
"161" 1278 4 4 -0.388888888888889 -0.0507312299627465 0.317742471935827 0.294294294294294
